date,month,weekday,holiday_flag,special_event,time_slot_code,time_slot,item,category,qty_sold,price_inr,temp_c,weather_condition,promotion_flag,footfall,previous_day_qty
2025-01-01,1,2,0,None,0,Breakfast,Chicken Rice,Meal,15,1200,22.6,Sunny,0,606,15
2025-01-01,1,2,0,None,1,Lunch,Chicken Rice,Meal,150,12000,22.6,Sunny,0,606,15
2025-01-01,1,2,0,None,2,Dinner,Chicken Rice,Meal,101,8080,22.6,Sunny,1,606,150
2025-01-02,1,3,0,None,0,Breakfast,Chicken Rice,Meal,19,1520,27.015767738150366,Rainy,0,634,101
2025-01-02,1,3,0,None,1,Lunch,Chicken Rice,Meal,78,6240,27.015767738150366,Rainy,0,634,19
2025-01-02,1,3,0,None,2,Dinner,Chicken Rice,Meal,71,5680,27.015767738150366,Rainy,0,634,78
2025-01-03,1,4,0,None,0,Breakfast,Chicken Rice,Meal,16,1280,29.0,Sunny,0,472,71
2025-01-03,1,4,0,None,1,Lunch,Chicken Rice,Meal,107,8560,29.0,Sunny,0,472,16
2025-01-03,1,4,0,None,2,Dinner,Chicken Rice,Meal,36,2880,29.0,Sunny,0,472,107
2025-01-04,1,5,1,Tech Meet,0,Breakfast,Chicken Rice,Meal,11,880,22.6,Cloudy,0,337,36
2025-01-04,1,5,1,Tech Meet,1,Lunch,Chicken Rice,Meal,96,7680,22.6,Cloudy,0,337,11
2025-01-04,1,5,1,Tech Meet,2,Dinner,Chicken Rice,Meal,71,5680,22.6,Cloudy,0,337,96
2025-01-05,1,6,1,None,0,Breakfast,Chicken Rice,Meal,9,720,17.243019948088673,Rainy,0,282,71
2025-01-05,1,6,1,None,1,Lunch,Chicken Rice,Meal,62,4960,17.243019948088673,Rainy,0,282,9
2025-01-05,1,6,1,None,2,Dinner,Chicken Rice,Meal,36,2880,17.243019948088673,Rainy,0,282,62
2025-01-06,1,0,0,Tech Meet,0,Breakfast,Chicken Rice,Meal,64,5120,29.8,Sunny,0,745,36
2025-01-06,1,0,0,Tech Meet,1,Lunch,Chicken Rice,Meal,183,14640,29.8,Sunny,0,745,64
2025-01-06,1,0,0,Tech Meet,2,Dinner,Chicken Rice,Meal,152,12160,29.8,Sunny,0,745,183
2025-01-07,1,1,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,31.4,Cloudy,0,466,152
2025-01-07,1,1,0,None,1,Lunch,Chicken Rice,Meal,74,5920,31.4,Cloudy,0,466,13
2025-01-07,1,1,0,None,2,Dinner,Chicken Rice,Meal,55,4400,31.4,Cloudy,0,466,74
2025-01-08,1,2,0,None,0,Breakfast,Chicken Rice,Meal,15,1200,32.5,Sunny,0,602,55
2025-01-08,1,2,0,None,1,Lunch,Chicken Rice,Meal,76,6080,32.5,Sunny,0,602,15
2025-01-08,1,2,0,None,2,Dinner,Chicken Rice,Meal,51,4080,32.5,Sunny,0,602,76
2025-01-09,1,3,0,None,0,Breakfast,Chicken Rice,Meal,46,3680,25.4,Sunny,0,760,51
2025-01-09,1,3,0,None,1,Lunch,Chicken Rice,Meal,122,9760,25.4,Sunny,0,760,46
2025-01-09,1,3,0,None,2,Dinner,Chicken Rice,Meal,127,10160,25.4,Sunny,0,760,122
2025-01-10,1,4,0,None,0,Breakfast,Chicken Rice,Meal,35,2800,31.0,Cloudy,0,541,127
2025-01-10,1,4,0,None,1,Lunch,Chicken Rice,Meal,117,9360,31.0,Cloudy,0,541,35
2025-01-10,1,4,0,None,2,Dinner,Chicken Rice,Meal,87,6960,31.0,Cloudy,0,541,117
2025-01-11,1,5,1,None,0,Breakfast,Chicken Rice,Meal,4,320,31.0,Sunny,0,226,87
2025-01-11,1,5,1,None,1,Lunch,Chicken Rice,Meal,34,2720,31.0,Sunny,0,226,4
2025-01-11,1,5,1,None,2,Dinner,Chicken Rice,Meal,33,2640,31.0,Sunny,0,226,34
2025-01-12,1,6,1,Tech Meet,0,Breakfast,Chicken Rice,Meal,26,2080,24.5,Sunny,0,334,33
2025-01-12,1,6,1,Tech Meet,1,Lunch,Chicken Rice,Meal,79,6320,24.5,Sunny,0,334,26
2025-01-12,1,6,1,Tech Meet,2,Dinner,Chicken Rice,Meal,64,5120,24.5,Sunny,0,334,79
2025-01-13,1,0,0,None,0,Breakfast,Chicken Rice,Meal,19,1520,21.6,Sunny,0,520,64
2025-01-13,1,0,0,None,1,Lunch,Chicken Rice,Meal,82,6560,21.6,Sunny,0,520,19
2025-01-13,1,0,0,None,2,Dinner,Chicken Rice,Meal,71,5680,21.6,Sunny,0,520,82
2025-01-14,1,1,0,None,0,Breakfast,Chicken Rice,Meal,39,3120,22.9,Sunny,1,770,71
2025-01-14,1,1,0,None,1,Lunch,Chicken Rice,Meal,79,6320,22.9,Sunny,0,770,39
2025-01-14,1,1,0,None,2,Dinner,Chicken Rice,Meal,121,9680,22.9,Sunny,0,770,79
2025-01-15,1,2,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,12,960,34.3,Sunny,0,609,121
2025-01-15,1,2,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,72,5760,34.3,Sunny,0,609,12
2025-01-15,1,2,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,120,9600,34.3,Sunny,1,609,72
2025-01-16,1,3,0,None,0,Breakfast,Chicken Rice,Meal,39,3120,23.7,Sunny,1,553,120
2025-01-16,1,3,0,None,1,Lunch,Chicken Rice,Meal,61,4880,23.7,Sunny,0,553,39
2025-01-16,1,3,0,None,2,Dinner,Chicken Rice,Meal,89,7120,23.7,Sunny,0,553,61
2025-01-17,1,4,0,None,0,Breakfast,Chicken Rice,Meal,26,2080,27.4,Sunny,0,558,89
2025-01-17,1,4,0,None,1,Lunch,Chicken Rice,Meal,72,5760,27.4,Sunny,0,558,26
2025-01-17,1,4,0,None,2,Dinner,Chicken Rice,Meal,79,6320,27.4,Sunny,0,558,72
2025-01-18,1,5,1,None,0,Breakfast,Chicken Rice,Meal,15,1200,33.4,Sunny,1,333,79
2025-01-18,1,5,1,None,1,Lunch,Chicken Rice,Meal,72,5760,33.4,Sunny,0,333,15
2025-01-18,1,5,1,None,2,Dinner,Chicken Rice,Meal,32,2560,33.4,Sunny,0,333,72
2025-01-19,1,6,1,None,0,Breakfast,Chicken Rice,Meal,16,1280,34.6,Sunny,0,449,32
2025-01-19,1,6,1,None,1,Lunch,Chicken Rice,Meal,96,7680,34.6,Sunny,0,449,16
2025-01-19,1,6,1,None,2,Dinner,Chicken Rice,Meal,28,2240,34.6,Sunny,0,449,96
2025-01-20,1,0,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,14,1120,26.4,Sunny,0,589,28
2025-01-20,1,0,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,103,8240,26.4,Sunny,0,589,14
2025-01-20,1,0,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,74,5920,26.4,Sunny,1,589,103
2025-01-21,1,1,0,None,0,Breakfast,Chicken Rice,Meal,8,640,28.2,Sunny,0,423,74
2025-01-21,1,1,0,None,1,Lunch,Chicken Rice,Meal,77,6160,28.2,Sunny,0,423,8
