date,building,energy_kwh,temp_c,humidity_pct,occupancy_estimate,weekday,holiday_flag,outside_temp_c,rainfall_mm,building_area_sqm,floor_count,equipment_factor,class_event_count
2024-01-01,Academic Block,126.23,27.1,86.5,75,0,0,15.6,0.4,3000,3,1.0,1
2024-01-01,Library,205.17,32.4,57.1,237,0,0,15.6,0.4,2000,2,1.2,2
2024-01-01,Hostel,130.67,33.8,80.1,60,0,0,15.6,0.4,5000,4,1.1,2
2024-01-01,Admin,169.61,31.1,53.7,147,0,0,15.6,0.4,1500,2,0.9,3
2024-01-01,Lab Block,215.69,25.6,89.9,216,0,0,15.6,0.4,2500,3,1.5,3
2024-01-02,Academic Block,152.36,26.1,31.7,135,1,0,23.5,12.4,3000,3,1.0,0
2024-01-02,Library,199.15,37.7,73.1,205,1,0,23.5,12.4,2000,2,1.2,0
2024-01-02,Hostel,174.18,29.3,80.3,148,1,0,23.5,12.4,5000,4,1.1,0
2024-01-02,Admin,194.86,25.7,76.9,185,1,0,23.5,12.4,1500,2,0.9,2
2024-01-02,Lab Block,132.32,31.9,71.0,75,1,0,23.5,12.4,2500,3,1.5,0
2024-01-03,Academic Block,104.41,29.3,42.5,28,2,0,19.1,9.5,3000,3,1.0,0
2024-01-03,Library,182.53,26.7,65.1,153,2,0,19.1,9.5,2000,2,1.2,4
2024-01-03,Hostel,191.31,34.4,68.9,167,2,0,19.1,9.5,5000,4,1.1,2
2024-01-03,Admin,151.05,28.2,46.0,124,2,0,19.1,9.5,1500,2,0.9,0
2024-01-03,Lab Block,182.84,35.2,51.4,160,2,0,19.1,9.5,2500,3,1.5,1
2024-01-04,Academic Block,145.39,20.6,32.9,107,3,0,29.7,16.3,3000,3,1.0,3
2024-01-04,Library,217.48,30.4,33.2,230,3,0,29.7,16.3,2000,2,1.2,4
2024-01-04,Hostel,235.02,35.5,85.0,246,3,0,29.7,16.3,5000,4,1.1,4
2024-01-04,Admin,98.82,35.0,62.3,11,3,0,29.7,16.3,1500,2,0.9,2
2024-01-04,Lab Block,142.25,21.7,34.5,98,3,0,29.7,16.3,2500,3,1.5,2
2024-01-05,Academic Block,200.49,35.8,78.4,207,4,0,15.1,17.5,3000,3,1.0,2
2024-01-05,Library,202.22,33.4,59.4,182,4,0,15.1,17.5,2000,2,1.2,4
2024-01-05,Hostel,159.9,22.7,73.6,120,4,0,15.1,17.5,5000,4,1.1,4
2024-01-05,Admin,173.22,34.5,42.9,165,4,0,15.1,17.5,1500,2,0.9,4
2024-01-05,Lab Block,226.18,33.7,63.9,235,4,0,15.1,17.5,2500,3,1.5,2
2024-01-06,Academic Block,171.65,29.9,53.1,135,5,1,28.0,14.5,3000,3,1.0,2
2024-01-06,Library,152.89,27.5,48.9,116,5,1,28.0,14.5,2000,2,1.2,2
2024-01-06,Hostel,225.66,21.3,59.9,247,5,1,28.0,14.5,5000,4,1.1,4
2024-01-06,Admin,133.53,35.8,87.3,72,5,1,28.0,14.5,1500,2,0.9,3
2024-01-06,Lab Block,208.96,37.4,72.4,201,5,1,28.0,14.5,2500,3,1.5,4
2024-01-07,Academic Block,193.86,25.6,60.4,218,6,1,20.7,1.5,3000,3,1.0,2
2024-01-07,Library,182.41,31.7,59.3,146,6,1,20.7,1.5,2000,2,1.2,4
2024-01-07,Hostel,169.67,26.2,40.4,145,6,1,20.7,1.5,5000,4,1.1,1
2024-01-07,Admin,154.28,29.3,79.9,102,6,1,20.7,1.5,1500,2,0.9,4
2024-01-07,Lab Block,134.21,31.7,54.4,63,6,1,20.7,1.5,2500,3,1.5,3
2024-01-08,Academic Block,159.85,29.5,42.2,135,0,0,31.3,4.1,3000,3,1.0,1
2024-01-08,Library,132.12,21.4,65.2,89,0,0,31.3,4.1,2000,2,1.2,1
2024-01-08,Hostel,225.72,29.9,65.5,237,0,0,31.3,4.1,5000,4,1.1,2
2024-01-08,Admin,132.12,33.0,37.9,64,0,0,31.3,4.1,1500,2,0.9,3
2024-01-08,Lab Block,177.49,20.7,81.3,126,0,0,31.3,4.1,2500,3,1.5,3
2024-01-09,Academic Block,201.76,21.5,76.1,231,1,0,16.4,7.5,3000,3,1.0,0
2024-01-09,Library,206.7,36.1,31.0,225,1,0,16.4,7.5,2000,2,1.2,0
2024-01-09,Hostel,217.2,27.6,83.5,234,1,0,16.4,7.5,5000,4,1.1,0
2024-01-09,Admin,146.19,25.1,56.8,111,1,0,16.4,7.5,1500,2,0.9,4
2024-01-09,Lab Block,129.92,27.8,52.7,58,1,0,16.4,7.5,2500,3,1.5,2
2024-01-10,Academic Block,147.23,21.3,46.1,117,2,0,15.9,11.1,3000,3,1.0,2
2024-01-10,Library,194.53,36.9,78.6,194,2,0,15.9,11.1,2000,2,1.2,1
2024-01-10,Hostel,161.71,32.0,86.3,112,2,0,15.9,11.1,5000,4,1.1,2
2024-01-10,Admin,208.44,30.6,62.4,206,2,0,15.9,11.1,1500,2,0.9,3
2024-01-10,Lab Block,148.28,30.1,45.2,83,2,0,15.9,11.1,2500,3,1.5,4
2024-01-11,Academic Block,165.78,26.3,67.1,145,3,0,32.0,12.5,3000,3,1.0,1
2024-01-11,Library,188.82,36.8,81.8,166,3,0,32.0,12.5,2000,2,1.2,4
2024-01-11,Hostel,150.43,28.1,51.3,98,3,0,32.0,12.5,5000,4,1.1,0
2024-01-11,Admin,120.0,26.5,33.7,30,3,0,32.0,12.5,1500,2,0.9,4
2024-01-11,Lab Block,204.96,32.0,86.5,196,3,0,32.0,12.5,2500,3,1.5,1
2024-01-12,Academic Block,156.72,37.2,79.4,121,4,0,24.0,6.6,3000,3,1.0,2
2024-01-12,Library,181.7,33.2,73.6,147,4,0,24.0,6.6,2000,2,1.2,1
2024-01-12,Hostel,150.94,23.0,46.0,125,4,0,24.0,6.6,5000,4,1.1,2
2024-01-12,Admin,132.3,23.0,47.0,95,4,0,24.0,6.6,1500,2,0.9,1
2024-01-12,Lab Block,173.17,26.6,41.7,139,4,0,24.0,6.6,2500,3,1.5,4
2024-01-13,Academic Block,220.76,28.0,86.9,243,5,1,17.8,19.5,3000,3,1.0,0
2024-01-13,Library,148.38,31.1,79.2,87,5,1,17.8,19.5,2000,2,1.2,0
2024-01-13,Hostel,227.07,31.3,77.1,237,5,1,17.8,19.5,5000,4,1.1,4
2024-01-13,Admin,113.99,29.4,46.4,43,5,1,17.8,19.5,1500,2,0.9,3
2024-01-13,Lab Block,173.6,31.2,34.8,142,5,1,17.8,19.5,2500,3,1.5,3
2024-01-14,Academic Block,115.86,34.9,71.1,33,6,1,29.8,13.2,3000,3,1.0,3
2024-01-14,Library,218.02,33.4,58.4,222,6,1,29.8,13.2,2000,2,1.2,2
2024-01-14,Hostel,144.66,32.5,86.2,68,6,1,29.8,13.2,5000,4,1.1,3
2024-01-14,Admin,132.66,24.4,84.2,60,6,1,29.8,13.2,1500,2,0.9,2
2024-01-14,Lab Block,204.89,34.2,51.3,195,6,1,29.8,13.2,2500,3,1.5,1
2024-01-15,Academic Block,134.19,25.3,46.9,107,0,0,20.9,0.2,3000,3,1.0,0
2024-01-15,Library,211.6,35.8,36.2,240,0,0,20.9,0.2,2000,2,1.2,4
2024-01-15,Hostel,170.42,35.2,69.1,147,0,0,20.9,0.2,5000,4,1.1,3
2024-01-15,Admin,96.26,30.1,62.3,15,0,0,20.9,0.2,1500,2,0.9,0
2024-01-15,Lab Block,122.21,36.1,81.9,40,0,0,20.9,0.2,2500,3,1.5,1
