student_id,department,year,subject,month1_marks,month2_marks,month3_marks,model_marks,practicals_marks
1,BIO,3,Biology,71.46,84.3,81.81,53.46,57.46
1,BIO,3,Genetics,54.75,59.86,62.47,82.38,52.83
1,BIO,3,Biochemistry,41.91,61.56,78.34,55.64,82.08
1,BIO,3,Microbiology,54.29,88.73,89.26,61.35,61.5
1,BIO,3,Biotechnology,62.62,53.23,76.98,90.43,83.65
2,MATH,3,Algebra,85.34,61.83,48.6,85.59,68.02
2,MATH,3,Calculus,76.92,54.89,44.47,99.59,57.81
2,MATH,3,Statistics,94.36,93.75,83.66,81.27,78.89
2,MATH,3,Probability,87.64,55.92,65.72,79.07,70.56
2,MATH,3,Discrete Math,63.51,58.17,71.03,91.78,60.08
3,EEE,1,Machines,91.39,77.9,85.28,75.59,88.98
3,EEE,1,Circuits,40.89,85.01,42.21,93.95,99.6
3,EEE,1,Power Systems,56.17,51.57,82.09,58.92,93.28
3,EEE,1,Control,45.66,46.93,93.85,82.06,92.34
3,EEE,1,Measurements,57.84,77.21,72.68,78.17,84.13
4,CHEM,4,Organic,71.64,63.6,55.18,87.27,61.31
4,CHEM,4,Inorganic,78.08,52.83,74.39,86.09,60.94
4,CHEM,4,Physical,43.3,47.2,73.33,91.72,52.25
4,CHEM,4,Analytical,80.38,58.77,66.32,96.09,66.6
4,CHEM,4,Industrial Chemistry,65.59,40.75,44.49,59.22,51.39
5,MATH,4,Algebra,74.73,63.45,70.15,54.61,64.8
5,MATH,4,Calculus,76.51,93.09,42.77,93.97,78.84
5,MATH,4,Statistics,71.02,67.52,43.82,49.94,80.05
5,MATH,4,Probability,58.75,90.45,62.36,52.88,85.74
5,MATH,4,Discrete Math,56.13,68.9,78.38,94.51,89.61
6,MATH,1,Algebra,77.2,77.38,92.03,61.27,50.06
6,MATH,1,Calculus,54.96,51.98,76.4,79.85,79.67
6,MATH,1,Statistics,40.89,80.08,57.79,81.58,77.83
6,MATH,1,Probability,58.85,47.4,45.19,90.73,95.92
